nome,link,pdf_link
ADI 3601,https://jurisprudencia.stf.jus.br/pages/search/sjur164485/false,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=3601&classe=ADI
ADI 1954,https://jurisprudencia.stf.jus.br/pages/search/sjur95928/false,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=1954&classe=ADI
ADI 4610,https://jurisprudencia.stf.jus.br/pages/search/sjur417530/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=751676295
ADI 1606,https://jurisprudencia.stf.jus.br/pages/search/sjur398757/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=749226876
ADI 5158,https://jurisprudencia.stf.jus.br/pages/search/sjur398636/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=749194483
ADI 3444,https://jurisprudencia.stf.jus.br/pages/search/sjur10026/false,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=3444&classe=ADI
ADI 3813,https://jurisprudencia.stf.jus.br/pages/search/sjur301280/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=8255786
ADI 2802,https://jurisprudencia.stf.jus.br/pages/search/sjur96369/false,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=2802&classe=ADI
ADI 5897,https://jurisprudencia.stf.jus.br/pages/search/sjur407726/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=750423527
ADI 2670,https://jurisprudencia.stf.jus.br/pages/search/sjur95036/false,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=2670&classe=ADI
ADI 3774,https://jurisprudencia.stf.jus.br/pages/search/sjur410373/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=750752286
ADI 4169,https://jurisprudencia.stf.jus.br/pages/search/sjur393923/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=748604546
ADI 1158,https://jurisprudencia.stf.jus.br/pages/search/sjur279600/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=6903741
ADI 3297,https://jurisprudencia.stf.jus.br/pages/search/sjur413927/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=751243586
ADI 4317,https://jurisprudencia.stf.jus.br/pages/search/sjur414302/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=751286549
ADI 2859,https://jurisprudencia.stf.jus.br/pages/search/sjur358417/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=11899965
ADI 3645,https://jurisprudencia.stf.jus.br/pages/search/sjur92724/false,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=3645&classe=ADI
ADI 4056,https://jurisprudencia.stf.jus.br/pages/search/sjur211776/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=2455183
ADI 3144,https://jurisprudencia.stf.jus.br/pages/search/sjur393724/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=748556939
ADI 3418,https://jurisprudencia.stf.jus.br/pages/search/sjur395923/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=748786644
ADI 5709,https://jurisprudencia.stf.jus.br/pages/search/sjur407011/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=750209316
ADI 451,https://jurisprudencia.stf.jus.br/pages/search/sjur381585/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=14474951
ADI 4577,https://jurisprudencia.stf.jus.br/pages/search/sjur396595/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=748843669
ADI 4421,https://jurisprudencia.stf.jus.br/pages/search/sjur406603/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=750162096
ADI 2374,https://jurisprudencia.stf.jus.br/pages/search/sjur92745/false,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=2374&classe=ADI
ADI 1808,https://jurisprudencia.stf.jus.br/pages/search/sjur283856/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=7182230
ADI 3550,https://jurisprudencia.stf.jus.br/pages/search/sjur420072/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=752158083
ADI 5856,https://jurisprudencia.stf.jus.br/pages/search/sjur420074/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=752156474
ADI 4332,https://jurisprudencia.stf.jus.br/pages/search/sjur384553/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=14770931
ADI 2960,https://jurisprudencia.stf.jus.br/pages/search/sjur229895/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=3763978
ADI 3587,https://jurisprudencia.stf.jus.br/pages/search/sjur90600/false,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=3587&classe=ADI
ADI 423,https://jurisprudencia.stf.jus.br/pages/search/sjur89554/false,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=423&classe=ADI
ADI 5174,https://jurisprudencia.stf.jus.br/pages/search/sjur415851/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=751490342
ADI 2696,https://jurisprudencia.stf.jus.br/pages/search/sjur364448/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=12554296
ADI 4698,https://jurisprudencia.stf.jus.br/pages/search/sjur390493/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=748171104
ADI 3740,https://jurisprudencia.stf.jus.br/pages/search/sjur416113/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=751512004
ADI 1557,https://jurisprudencia.stf.jus.br/pages/search/sjur94884/false,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=1557&classe=ADI
ADI 4545,https://jurisprudencia.stf.jus.br/pages/search/sjur421811/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=752402941
ADI 5541,https://jurisprudencia.stf.jus.br/pages/search/sjur413028/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=751151465
ADI 2644,https://jurisprudencia.stf.jus.br/pages/search/sjur97286/false,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=2644&classe=ADI
ADI 4170,https://jurisprudencia.stf.jus.br/pages/search/sjur414533/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=751331210
ADI 5004,https://jurisprudencia.stf.jus.br/pages/search/sjur384070/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=14713616
ADI 4348,https://jurisprudencia.stf.jus.br/pages/search/sjur393472/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=748530045
ADI 4659,https://jurisprudencia.stf.jus.br/pages/search/sjur410735/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=750833027
