nome,link,pdf_link
ADI 4062,https://jurisprudencia.stf.jus.br/pages/search/sjur417329/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=751630956
ADI 2994,https://jurisprudencia.stf.jus.br/pages/search/sjur96142/false,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=2994&classe=ADI
ADI 4967,https://jurisprudencia.stf.jus.br/pages/search/sjur299968/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=8193622
ADI 2883,https://jurisprudencia.stf.jus.br/pages/search/sjur6626/false,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=2883&classe=ADI
ADI 2485,https://jurisprudencia.stf.jus.br/pages/search/sjur417382/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=751661299
ADI 4114,https://jurisprudencia.stf.jus.br/pages/search/sjur418760/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=751971999
ADI 3966,https://jurisprudencia.stf.jus.br/pages/search/sjur410308/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=750738452
ADI 4628,https://jurisprudencia.stf.jus.br/pages/search/sjur285926/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=7310046
ADI 5725,https://jurisprudencia.stf.jus.br/pages/search/sjur397078/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=748888120
ADI 4090,https://jurisprudencia.stf.jus.br/pages/search/sjur410731/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=750833023
ADI 3564,https://jurisprudencia.stf.jus.br/pages/search/sjur275847/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=6671547
ADI 5720,https://jurisprudencia.stf.jus.br/pages/search/sjur412247/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=751044405
ADI 5461 AgR,https://jurisprudencia.stf.jus.br/pages/search/sjur410332/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=750738516
ADI 3994,https://jurisprudencia.stf.jus.br/pages/search/sjur410309/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=750738453
ADI 5663,https://jurisprudencia.stf.jus.br/pages/search/sjur410740/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=750833032
ADI 3223,https://jurisprudencia.stf.jus.br/pages/search/sjur290714/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=7637724
ADI 1460 MC,https://jurisprudencia.stf.jus.br/pages/search/sjur118525/false,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=1460&classe=ADI-MC
